encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
dinov2_vitl,ablate_graph_k4,19.214703056961298,0.6894114448824249,0.6093570037910493,0.649383593699004,graph_k,,,,4.0,,
vit_large_patch16_224,patch_context_mlp,2.4874761011451483,0.6440125050971863,0.5843210700417812,0.6483887866308937,,,,,,,
vit_large_patch16_224,local_context_mlp,5.01302257925272,0.5867880929726791,0.5474704427679087,0.6480514363493087,,,,,,,
virchow2,linear_probe,27.571995878592134,0.649041728965611,0.5911335741108504,0.6479338062167029,,,,,,,
virchow2,ablate_patchbudget_100,4.32388655655086,0.6436047301889357,0.5812116215553534,0.6466756133029293,patch_budget,,,100.0,,,
provgigapath,ablate_patchbudget_200,2.3821083437651396,0.6482261791491097,0.5787511682279184,0.6461153986439488,patch_budget,,,200.0,,,
dinov2_vitl,linear_probe,21.288742795586586,0.6710615740111459,0.5964631248298932,0.6460926120398055,,,,,,,
provgigapath,residual_boosting,21.20067783072591,0.6794889221149926,0.6070196015074328,0.6460721235705346,,,,,,,
virchow2,ablate_patchfeat_cell_patch,4.474670741707087,0.6542068778034525,0.5905863005377814,0.6455921483312643,feature_mode,cell_patch,,,,,
conch,ablate_patchfeat_cell_patch,2.602930221706629,0.6430610303112682,0.5836261989130928,0.6453513819987243,feature_mode,cell_patch,,,,,
provgigapath,linear_probe,16.264677802100778,0.6784015223596574,0.606917415717246,0.6452140749618754,,,,,,,
resnet50,patch_context_mlp,4.316775254905224,0.708848715509039,0.6227552058874556,0.6451415684434082,,,,,,,
resnet50,ablate_patchbudget_200,3.8262410648167133,0.6849259208916678,0.6298972207562842,0.644134991987542,patch_budget,,,200.0,,,
conch,ablate_patchbudget_200,2.744580004364252,0.6393910561370124,0.5783576639007175,0.643141367845903,patch_budget,,,200.0,,,
provgigapath,hybrid_morph_context,3.9893428944051266,0.6446921299442707,0.5924605001317058,0.643032501792509,,,,,,,
conch,mlp_head,2.174229709431529,0.6667119749898056,0.5934961523717215,0.6414454331955258,,,,,,,
resnet50,ablate_patchagg_max,4.3692839331924915,0.69267364414843,0.6257185457247875,0.6412907894554557,patch_agg,,max,,,,
dinov2_vitl,graph_label_propagation,21.07207763195038,0.6865570205246704,0.6047240129847627,0.641240878596031,,,,,,,
dinov2_vitl,ablate_graph_k8,23.236834153532982,0.6865570205246704,0.6047240129847627,0.641240878596031,graph_k,,,,8.0,,
dinov2_vitl,ablate_graph_k12,21.708004489541054,0.685877395677586,0.6041319938518064,0.6404707456150033,graph_k,,,,12.0,,
resnet50,ablate_patchfeat_cell_patch,3.6146397069096565,0.7220334375424765,0.638485002375231,0.6395856116826063,feature_mode,cell_patch,,,,,
dinov2_vitl,multiscale_proxy_mlp,8.744649847969413,0.644420280005437,0.5736381987859464,0.6394090571845129,,,,,,,
resnet50,ablate_patchagg_mean,3.5461641773581505,0.7118390648362104,0.6226680270400701,0.638949277787647,patch_agg,,mean,,,,
resnet50,local_context_mlp,5.056544944643974,0.6298763082778306,0.5505193457573029,0.6371266333099291,,,,,,,
resnet50,mlp_head,2.2321925293654203,0.6798966970232432,0.6099048666579783,0.6354304368337433,,,,,,,
resnet50,ablate_patchbudget_300,3.772620415315032,0.6426532554030175,0.5907633205804679,0.6354181873540842,patch_budget,,,300.0,,,
dinov2_vitl,patch_context_mlp,3.3156393691897392,0.6615468261519641,0.5825757436181856,0.6353013439331359,,,,,,,
conch,ablate_patchbudget_300,3.474864097312093,0.6187304607856463,0.5595863736398684,0.6349921610141228,patch_budget,,,300.0,,,
resnet50,graph_label_propagation,17.457887303084135,0.7083050156313715,0.6124604252780853,0.6331901891862037,,,,,,,
resnet50,ablate_graph_k8,19.961892645806074,0.7083050156313715,0.6124604252780853,0.6331901891862037,graph_k,,,,8.0,,
resnet50,ablate_graph_k4,17.885887645184994,0.7015087671605273,0.6068223031154215,0.6307682378587446,graph_k,,,,4.0,,
conch,ablate_graph_k4,11.579762171953917,0.6349055321462552,0.5839719527902166,0.6295677350624901,graph_k,,,,4.0,,
conch,ablate_patchfeat_cell_only,1.905472869053483,0.6407503058311812,0.5763184104947452,0.6288123873170844,feature_mode,cell_only,,,,,
resnet50,ablate_patchfeat_cell_only,2.5464094411581755,0.6748674731548185,0.5989220678242287,0.6284992867189846,feature_mode,cell_only,,,,,
conch,ablate_patchbudget_100,2.6365370731800795,0.6219926600516514,0.5642597294974503,0.6276042712411742,patch_budget,,,100.0,,,
conch,hybrid_morph_context,3.9326469507068396,0.6463232295772734,0.5723455236441113,0.6264667474230452,,,,,,,
resnet50,ablate_graph_k12,17.8297277148813,0.7047709664265326,0.6077718523501843,0.6257473534246132,graph_k,,,,12.0,,
conch,ablate_patchfeat_cell_patch_resid,3.62806916795671,0.5979339404648634,0.5521004256998867,0.6234354860670313,feature_mode,cell_patch_resid,,,,,
dinov2_vitl,ablate_patchbudget_300,3.2903007864952087,0.5995650400978659,0.5428496877350802,0.6234298132034216,patch_budget,,,300.0,,,
conch,graph_label_propagation,13.65696532279253,0.6296044583389969,0.5797122810623231,0.6230542944737083,,,,,,,
conch,ablate_graph_k8,11.842665921896696,0.6296044583389969,0.5797122810623231,0.6230542944737083,graph_k,,,,8.0,,
dinov2_vitl,ablate_patchbudget_100,4.451969353482127,0.6179149109691451,0.5639180368496838,0.6226501347206886,patch_budget,,,100.0,,,
conch,patch_context_mlp,3.7846657875925303,0.5899143672692674,0.5488260068475092,0.6220134769368387,,,,,,,
conch,ablate_patchagg_mean,3.07702605612576,0.6275655837977436,0.5732091368781923,0.6212734343014028,patch_agg,,mean,,,,
dinov2_vitl,ablate_patchbudget_200,5.096402203664184,0.6321870327579177,0.5677391643296342,0.6207829370099144,patch_budget,,,200.0,,,
conch,residual_boosting,16.741015631705523,0.6313714829414163,0.5690597225933989,0.6203407715733441,,,,,,,
provgigapath,ablate_localctx_k12,4.141937067732215,0.6309637080331657,0.5889476371584154,0.6201785709607628,localctx_k,,,,12.0,,
conch,local_context_mlp,5.195493906736374,0.6843822210140003,0.5910963285317196,0.6191939862984035,,,,,,,
resnet50,hybrid_morph_context,4.617085509002209,0.7077613157537039,0.6159696766598693,0.616012226431046,,,,,,,
conch,ablate_graph_k12,12.0184585172683,0.623759684654071,0.5736343245325246,0.615527300966826,graph_k,,,,12.0,,
conch,ablate_localctx_k8,3.273242749273777,0.5072719858638032,0.5030125516290033,0.6142090283386464,localctx_k,,,,8.0,,
conch,linear_probe,11.375498600304127,0.6230800598069866,0.5641250653591721,0.6139436779900785,,,,,,,
dinov2_vitl,ablate_patchagg_mean,4.894644487649202,0.5946717411988582,0.546222938813999,0.6133533074706002,patch_agg,,mean,,,,
